time,foot1,foot2,hand1,hand2,pos1,pos2,result,score,bout
,,,,,,,,,1
0:01:23,fs,,,,,,,,
0:01:24,,fs,,,,,,,
0:01:25,,,,,,,,,
0:01:26,,,,,,,,,
0:01:27,,,,,,,,,
0:01:28,,,,,,,,,
0:01:29,,,,,,,,,
0:02:00,,,,,,,,,
0:02:01,,,,,,,,,
0:02:02,,,,,,,,,
0:02:03,,,,,,,,,
0:02:04,ff,,,,,,,,
0:02:05,fs,ff,,,,,,,
0:02:06,,fs,,,,,,,
0:02:07,,,,,,,,,
0:02:08,,,,,,,,,
0:02:09,ff,,,,,,,,
0:02:10,as,,,,,,,,
0:02:11,,,,,,,,,
0:02:12,,,,,,,,,
0:02:13,,ff,,,,,,,
0:02:14,,bs,as,,,,,,
0:02:15,,bf,,,,,,,
0:02:16,af,fs,,,,,,,
0:02:17,,,,,,,,,
0:02:18,,,h,,,,,,
0:02:19,,,,,,,,,
0:02:20,,,,,,,,,
0:02:21,,ff,,,,,,,
,,,,,,,a,1,
,,,,,,,,,2
0:10:03,fs,,,,,,,,
0:10:04,,fs,,,,,,,
0:10:05,,,,,,,,,
0:10:06,,,,,,,,,
0:10:07,,,,,,,,,
0:10:08,,,,,,,,,
0:10:09,,,,,,,,,
0:10:10,,,,,,,,,
0:10:11,,,,,,,,,
0:10:12,,,,,,,,,
0:10:13,,,,,,,,,
0:10:14,,,,,,,,,
0:10:15,ff,,,,,,,,
0:10:16,fs,ff,,,,,,,
0:10:17,,as,,,,,,,
0:10:18,,,,,,,,,
0:10:19,,,,,,,,,
0:10:20,ff,,,,,,,,
0:10:21,as,,,,,,,,
0:10:22,,,,,,,,,
0:10:23,,,,,,,,,
0:10:24,,,,,,,,,
0:10:25,,,as,,,,,,
0:10:26,,,,as,,,,,
0:10:27,,,h,,5,,,,
0:10:28,af,,,h,,4,,,
0:10:29,,af,,,,,,,
,,,,,,,b,,
,,,,,,,,,3
0:18:18,fs,,,,,,,,
0:18:19,,,,,,,,,
0:18:20,,fs,,,,,,,
0:18:21,,,,,,,,,
0:18:22,,,,,,,,,
0:18:23,,,,,,,,,
0:18:24,,,,,,,,,
0:18:25,,,,,,,,,
0:18:26,,,,,,,,,
0:18:27,,,,,,,,,
0:18:28,,,,,,,,,
0:18:29,ff,,,,,,,,
0:19:00,fs,ff,,,,,,,
0:19:01,,fs,,,,,,,
0:19:02,,,,,,,,,
0:19:03,,,,,,,,,
0:19:04,,,,,,,,,
0:19:05,,,,,,,,,
0:19:06,ff,,,,,,,,
0:19:07,as,ff,,,,,,,
