time,foot1,foot2,hand1,hand2,pos1,pos2,parry_pos1,parry_pos2,ground,result,flow,score,bout,
,,,,,,,,,,,,,1,
3:18:06,fs,fs,,,,,,,,,,,,
3:18:07,,,,,,,,,,,,,,
3:18:08,,,,,,,,,,,,,,
3:18:09,,,,,,,,,,,,,,
3:18:10,,,,,,,,,,,,,,
3:18:11,,,,,,,,,,,,,,
3:18:12,,,,,,,,,,,,,,
3:18:13,,,,,,,,,,,,,,
3:18:14,,,,,,,,,,,,,,
3:18:15,,,,,,,,,,,,,,
3:18:16,,,,,,,,,,,,,,
3:18:17,ff,ff,,,,,,,,,,,,
3:18:18,fs,as,,,,,,,,,,,,
3:18:19,,,,,,,,,,,,,,
3:18:20,,,,,,,,,,,,,,
3:18:21,,,,,,,,,,,,,,
3:18:22,,,,,,,,,,,,,,
3:18:23,,,,,,,,,,,,,,
3:18:24,ff,,,,,,,,,,,,,
3:18:25,as,,,as,,,,,,,,,,
3:18:26,,,,,,,,,,,,,,
3:18:27,,,,,,,,,,,,,,
3:18:28,,,as,,,,,,,,,,,
3:18:29,,,,,,,,,,,,,,
3:19:01,,af,,h,,4,,,7,,,,,
3:19:02,af,,h,,4,,,,7,,,,,
,,,,,,,,,,b,ffb,,,
,,,,,,,,,,,,,2,
3:28:05,fs,fs,,,,,,,,,,,,
3:28:06,,,,,,,,,,,,,,
3:28:07,,,,,,,,,,,,,,
3:28:08,,,,,,,,,,,,,,
3:28:09,,,,,,,,,,,,,,
3:28:10,,,,,,,,,,,,,,
3:28:11,,,,,,,,,,,,,,
3:28:12,,,,,,,,,,,,,,
3:28:13,,,,,,,,,,,,,,
3:28:14,,,,,,,,,,,,,,
3:28:15,,ff,,,,,,,,,,,,
3:28:16,ff,as,,,,,,,,,,,,
3:28:17,fs,,,,,,,,,,,,,
3:28:18,,,,,,,,,,,,,,
3:28:19,,,,,,,,,,,,,,
3:28:20,,,,,,,,,,,,,,
3:28:21,,,,,,,,,,,,,,
3:28:22,,,,,,,,,,,,,,
3:28:23,,,,,,,,,,,,,,
3:28:24,,,,,,,,,,,,,,
3:28:25,ff,,,as,,,,,,,,,,
3:28:26,bs,,,,,,,,,,,,,
3:28:27,,,,,,,,,,,,,,
3:28:28,,,,,,,,,,,,,,
3:28:29,,,,,,,,,,,,,,
3:29:00,,af,,,,,,,,,,,,
3:29:01,,,,,,,,,,,,,,
3:29:02,,,,h,,4,,,6,,,,,
3:29:03,,,,,,,,,,,,,,
3:29:04,,,,,,,,,,,,,,
3:29:05,,,,,,,,,,,,,,
3:29:06,,,,,,,,,,,,,,
3:29:07,bf,,,,,,,,,,,,,
,,,,,,,,,,a,bff,2,,
,,,,,,,,,,,,,3,
3:47:18,fs,fs,,,,,,,,,,,,
3:47:19,,,,,,,,,,,,,,
3:47:20,,,,,,,,,,,,,,
3:47:21,,,,,,,,,,,,,,
3:47:22,,,,,,,,,,,,,,
3:47:23,,,,,,,,,,,,,,
3:47:24,,,,,,,,,,,,,,
3:47:25,,,,,,,,,,,,,,
3:47:26,,,,,,,,,,,,,,
3:47:27,,,,,,,,,,,,,,
3:47:28,,,,,,,,,,,,,,
3:47:29,,,,,,,,,,,,,,
3:48:00,ff,ff,,,,,,,,,,,,
3:48:01,fs,as,,,,,,,,,,,,
3:48:02,,,,,,,,,,,,,,
3:48:03,,,,,,,,,,,,,,
3:48:04,,,,,,,,,,,,,,
3:48:05,,,,,,,,,,,,,,
3:48:06,ff,,,,,,,,,,,,,
3:48:07,as,,,as,,,,,,,,,,
3:48:08,,,as,,,,,,,,,,,
3:48:09,,,,,,,,,,,,,,
3:48:10,,,,,,,,,,,,,,
3:48:11,,,,,,,,,,,,,,
3:48:12,,,,,,,,,,,,,,
3:48:13,,af,,h,,4,,,7,,,,,
3:48:14,af,,h,,4,,,,7,,,,,
,,,,,,,,,,b,ffb,,,
,,,,,,,,,,,,,4,
3:57:10,fs,fs,,,,,,,,,,,,
3:57:11,,,,,,,,,,,,,,
3:57:12,,,,,,,,,,,,,,
3:57:13,,,,,,,,,,,,,,
3:57:14,,,,,,,,,,,,,,
3:57:15,,,,,,,,,,,,,,
3:57:16,,,,,,,,,,,,,,
3:57:17,,,,,,,,,,,,,,
3:57:18,,,,,,,,,,,,,,
3:57:19,,,,,,,,,,,,,,
3:57:20,,,,,,,,,,,,,,
3:57:21,,,,,,,,,,,,,,
3:57:22,,,,,,,,,,,,,,
3:57:23,ff,ff,,,,,,,,,,,,
3:57:24,as,as,,,,,,,,,,,,
3:57:25,,,,,,,,,,,,,,
3:57:26,,,,,,,,,,,,,,
3:57:27,,,,,,,,,,,,,,
3:57:28,,,,,,,,,,,,,,
3:57:29,,,as,as,,,,,,,,,,
3:58:00,,,,,,,,,,,,,,
3:58:01,,,,,,,,,,,,,,
3:58:02,,,,,,,,,,,,,,
3:58:03,,,,,,,,,,,,,,
3:58:04,,af,,h,,5,,,7,,,,,
3:58:05,af,,h,,4,,,,7,,,,,
,,,,,,,,,,b,ffb,,,
,,,,,,,,,,,,,5,
4:07:13,fs,fs,,,,,,,,,,,,
4:07:14,,,,,,,,,,,,,,
4:07:15,,,,,,,,,,,,,,
4:07:16,,,,,,,,,,,,,,
4:07:17,,,,,,,,,,,,,,
4:07:18,,,,,,,,,,,,,,
4:07:19,,,,,,,,,,,,,,
4:07:20,,,,,,,,,,,,,,
4:07:21,,,,,,,,,,,,,,
4:07:22,,,,,,,,,,,,,,
4:07:23,ff,ff,,,,,,,,,,,,
4:07:24,fs,as,,,,,,,,,,,,
4:07:25,,,,,,,,,,,,,,
4:07:26,,,,,,,,,,,,,,
4:07:27,,,,,,,,,,,,,,
4:07:28,,,,,,,,,,,,,,
4:07:29,ff,,,,,,,,,,,,,
4:08:00,as,,,,,,,,,,,,,
4:08:01,,,as,as,,,,,,,,,,
4:08:02,,,,,,,,,,,,,,
4:08:03,,,,,,,,,,,,,,
4:08:04,,,,,,,,,,,,,,
4:08:05,,,,,,,,,,,,,,
4:08:06,,,h,,4,,,,7,,,,,
4:08:07,af,af,,h,,5,,,7,,,,,
,,,,,,,,,,a,ff2,2,,
,,,,,,,,,,,,,6,
4:22:19,fs,fs,,,,,,,,,,,,
4:22:20,,,,,,,,,,,,,,
4:22:21,,,,,,,,,,,,,,
4:22:22,,,,,,,,,,,,,,
4:22:23,,,,,,,,,,,,,,
4:22:24,,,,,,,,,,,,,,
4:22:25,,,,,,,,,,,,,,
4:22:26,,,,,,,,,,,,,,
4:22:27,,,,,,,,,,,,,,
4:22:28,,,,,,,,,,,,,,
4:22:29,,ff,,,,,,,,,,,,
4:23:00,ff,as,,,,,,,,,,,,
4:23:01,as,,,,,,,,,,,,,
4:23:02,,,,,,,,,,,,,,
4:23:03,,,,,,,,,,,,,,
4:23:04,,,,,,,,,,,,,,
4:23:05,,,,,,,,,,,,,,
4:23:06,,,,as,,,,,,,,,,
4:23:07,,,as,,,,,,,,,,,
4:23:08,,,,,,,,,,,,,,
4:23:09,,,,,,,,,,,,,,
4:23:10,,,,,,,,,,,,,,
4:23:11,,af,,h,,5,,,7,,,,,
4:23:12,,,h,,4,,,,7,,,,,
4:23:13,af,,,,,,,,,,,,,
,,,,,,,,,,b,ffb,,,
,,,,,,,,,,,,,7,
4:32:00,fs,fs,,,,,,,,,,,,
4:32:01,,,,,,,,,,,,,,
4:32:02,,,,,,,,,,,,,,
4:32:03,,,,,,,,,,,,,,
4:32:04,,,,,,,,,,,,,,
4:32:05,,,,,,,,,,,,,,
4:32:06,,,,,,,,,,,,,,
4:32:07,,,,,,,,,,,,,,
4:32:08,,,,,,,,,,,,,,
4:32:09,,,,,,,,,,,,,,
4:32:10,,,,,,,,,,,,,,
4:32:11,ff,,,,,,,,,,,,,
4:32:12,fs,ff,,,,,,,,,,,,
4:32:13,,as,,,,,,,,,,,,
4:32:14,,,,,,,,,,,,,,
4:32:15,,,,,,,,,,,,,,
4:32:16,,,,,,,,,,,,,,
4:32:17,,,,,,,,,,,,,,
4:32:18,,,,,,,,,,,,,,
4:32:19,ff,,,,,,,,,,,,,
4:32:20,bs,,,as,,,,,,,,,,
4:32:21,,,,,,,,,,,,,,
4:32:22,,,,,,,,,,,,,,
4:32:23,,,,,,,,,,,,,,
4:32:24,,,ps,,,,,,,,,,,
4:32:25,,af,p,af,,5,5,,6,,,,,
4:32:26,,,rs,,,,,,,,,,,
4:32:27,,,,,,,,,,,,,,
4:32:28,,,,,,,,,,,,,,
4:32:29,,,,,,,,,,,,,,
4:33:00,bf,,,,,,,,,,,,,
4:33:01,,,h,,5,,,,6,,,,,
,,,,,,,,,,r,bfr,1,,
,,,,,,,,,,,,,8,
4:49:28,fs,fs,,,,,,,,,,,,
4:49:29,,,,,,,,,,,,,,
4:50:00,,,,,,,,,,,,,,
4:50:01,,,,,,,,,,,,,,
4:50:02,,,,,,,,,,,,,,
4:50:03,,,,,,,,,,,,,,
4:50:04,,,,,,,,,,,,,,
4:50:05,,,,,,,,,,,,,,
4:50:06,,,,,,,,,,,,,,
4:50:07,,ff,,,,,,,,,,,,
4:50:08,ff,as,,,,,,,,,,,,
4:50:09,fs,,,,,,,,,,,,,
4:50:10,,,,,,,,,,,,,,
4:50:11,,,,,,,,,,,,,,
4:50:12,,,,,,,,,,,,,,
4:50:13,,,,,,,,,,,,,,
4:50:14,,,,,,,,,,,,,,
4:50:15,,,,,,,,,,,,,,
4:50:16,ff,,,,,,,,,,,,,
4:50:17,as,,,as,,,,,,,,,,
4:50:18,,,as,,,,,,,,,,,
4:50:19,,,,,,,,,,,,,,
4:50:20,,,,,,,,,,,,,,
4:50:21,,,,,,,,,,,,,,
4:50:22,,,,,,,,,,,,,,
4:50:23,af,af,,h,,4,,,7,,,,,
4:50:24,,,h,,5,,,,7,,,,,
,,,,,,,,,,a,ff2,2,,
,,,,,,,,,,,,,9,
5:09:12,fs,fs,,,,,,,,,,,,
5:09:13,,,,,,,,,,,,,,
5:09:14,,,,,,,,,,,,,,
5:09:15,,,,,,,,,,,,,,
5:09:16,,,,,,,,,,,,,,
5:09:17,,,,,,,,,,,,,,
5:09:18,,,,,,,,,,,,,,
5:09:19,,,,,,,,,,,,,,
5:09:20,,,,,,,,,,,,,,
5:09:21,,ff,,,,,,,,,,,,
5:09:22,ff,fs,,,,,,,,,,,,
5:09:23,fs,,,,,,,,,,,,,
5:09:24,,,,,,,,,,,,,,
5:09:25,,,,,,,,,,,,,,
5:09:26,,,,,,,,,,,,,,
5:09:27,,,,,,,,,,,,,,
5:09:28,,,,,,,,,,,,,,
5:09:29,ff,,,,,,,,,,,,,
5:10:00,bs,,,,,,,,,,,,,
5:10:01,,,,,,,,,,,,,,
5:10:02,,,,,,,,,,,,,,
5:10:03,,ff,,,,,,,,,,,,
5:10:04,,bs,,,,,,,,,,,,
5:10:05,,,,,,,,,,,,,,
5:10:06,,,,,,,,,,,,,,
5:10:07,,bf,,,,,,,,,,,,
