time,foot1,foot2,hand1,hand2,pos1,pos2,ground,result,flow,score,bout
,,,,,,,,,,,1
2:15:03,fs,fs,,,,,,,,,
2:15:04,,,,,,,,,,,
2:15:05,,,,,,,,,,,
2:15:06,,,,,,,,,,,
2:15:07,,,,,,,,,,,
2:15:08,,,,,,,,,,,
2:15:09,,ff,,,,,,,,,
2:15:10,,fs,,,,,,,,,
2:15:11,,,,,,,,,,,
2:15:12,,,,,,,,,,,
2:15:13,,,,,,,,,,,
2:15:14,ff,,,,,,,,,,
2:15:15,fs,,,,,,,,,,
2:15:16,,,,,,,,,,,
2:15:17,,,,,,,,,,,
2:15:18,,ff,,,,,,,,,
2:15:19,,bs,,,,,,,,,
2:15:20,,,,,,,,,,,
2:15:21,,,,,,,,,,,
2:15:22,,,,,,,,,,,
2:15:23,,,,,,,,,,,
2:15:24,,,,,,,,,,,
2:15:25,,,,,,,,,,,
2:15:26,,,,,,,,,,,
2:15:27,,bf,,,,,,,,,
2:15:28,,bs,,,,,,,,,
2:15:29,ff,,,,,,,,,,
2:16:00,fs,,,,,,,,,,
2:16:01,,,,,,,,,,,
2:16:02,,,,,,,,,,,
2:16:03,,,,,,,,,,,
2:16:04,,,,,,,,,,,
2:16:05,,,,,,,,,,,
2:16:06,,,,,,,,,,,
2:16:07,,,,,,,,,,,
2:16:08,,,,,,,,,,,
2:16:09,ff,,,,,,,,,,
2:16:10,fs,,,,,,,,,,
2:16:11,,bf,,,,,,,,,
2:16:12,,bs,,,,,,,,,
2:16:13,,,,,,,,,,,
2:16:14,,,,,,,,,,,
2:16:15,,,,,,,,,,,
2:16:16,,,,,,,,,,,
2:16:17,,,,,,,,,,,
2:16:18,,,,,,,,,,,
2:16:19,,,,,,,,,,,
2:16:20,,,,,,,,,,,
2:16:21,,,,,,,,,,,
2:16:22,,bf,,,,,,,,,
2:16:23,,bs,,,,,,,,,
2:16:24,ff,,,,,,,,,,
2:16:25,fs,,,,,,,,,,
2:16:26,,,,,,,,,,,
2:16:27,,,,,,,,,,,
2:16:28,,,,,,,,,,,
2:16:29,,,,,,,,,,,
2:17:00,,,,,,,,,,,
2:17:01,,,,,,,,,,,
2:17:02,,,,,,,,,,,
2:17:03,,,,,,,,,,,
2:17:04,,,,,,,,,,,
2:17:05,,bf,,,,,,,,,
2:17:06,,bs,,,,,,,,,
2:17:07,,,,,,,,,,,
2:17:08,ff,,,,,,,,,,
2:17:09,as,,,,,,,,,,
2:17:10,,,,,,,,,,,
2:17:11,,,,,,,,,,,
2:17:12,,,as,,,,,,,,
2:17:13,,,,,,,,,,,
2:17:14,,,,,,,,,,,
2:17:15,,,,,,,,,,,
2:17:16,,,,,,,,,,,
2:17:17,,,,,,,,,,,
2:17:18,af,,,,,,,,,,
2:17:19,,,af,,,,,,,,
2:17:20,,,,,,,,,,,
2:17:21,,,,,,,,,,,
2:17:22,,,,,,,,,,,
2:17:23,,bf,,,,,,,,,
2:17:24,,bs,,,,,,,,,
2:17:25,,,,,,,,,,,
2:17:26,,,,,,,,,,,
2:17:27,,,,,,,,,,,
2:17:28,,,,,,,,,,,
2:17:29,,,,,,,,,,,
2:18:00,,,,,,,,,,,
2:18:01,,,,,,,,,,,
2:18:02,,,,,,,,,,,
2:18:03,,,,,,,,,,,
2:18:04,,,,,,,,,,,
2:18:05,,,,,,,,,,,
2:18:06,,,,,,,,,,,
2:18:07,,,,,,,,,,,
2:18:08,,,,,,,,,,,
2:18:09,,,,,,,,,,,
2:18:10,,bf,,,,,,,,,
,,,,,,,,i,,,
,,,,,,,,,,,2
2:39:08,fs,fs,,,,,,,,,
2:39:09,,,,,,,,,,,
2:39:10,,,,,,,,,,,
2:39:11,,,,,,,,,,,
2:39:12,,,,,,,,,,,
2:39:13,,,,,,,,,,,
2:39:14,,,,,,,,,,,
2:39:15,,ff,,,,,,,,,
2:39:16,,fs,,,,,,,,,
2:39:17,ff,,,,,,,,,,
2:39:18,as,,,,,,,,,,
2:39:19,,,,,,,,,,,
2:39:20,,,,,,,,,,,
2:39:21,,,,,,,,,,,
2:39:22,,,,,,,,,,,
2:39:23,,ff,,,,,,,,,
2:39:24,,as,,,,,,,,,
2:39:25,,,,,,,,,,,
2:39:26,,,as,,,,,,,,
2:39:27,,,,as,,,,,,,
2:39:28,,,,,,,,,,,
2:39:29,af,,,h,,,,,,,
2:40:00,,af,h,,,,,,,,
,,,,,,,,b,ffb,,
,,,,,,,,,,,3
2:46:11,fs,fs,,,,,,,,,
2:46:12,,,,,,,,,,,
2:46:13,,,,,,,,,,,
2:46:14,,,,,,,,,,,
2:46:15,,,,,,,,,,,
2:46:16,,,,,,,,,,,
2:46:17,,,,,,,,,,,
2:46:18,,ff,,,,,,,,,
2:46:19,,fs,,,,,,,,,
2:46:20,,,,,,,,,,,
2:46:21,ff,,,,,,,,,,
2:46:22,as,,,,,,,,,,
2:46:23,,ff,,,,,,,,,
2:46:24,,as,,,,,,,,,
2:46:25,,,,,,,,,,,
2:46:26,,,,,,,,,,,
2:46:27,,,,,,,,,,,
2:46:28,,,,as,,,,,,,
2:46:29,,,,,,,,,,,
2:47:00,,af,as,,,,,,,,
2:47:01,,,,h,,,,,,,
2:47:02,af,,,,,,,,,,
2:47:03,,,,,,,,,,,
2:47:04,,,h,,,,,,,,
,,,,,,,,a,ff2,2,
,,,,,,,,,,,4
3:01:04,fs,fs,,,,,,,,,
3:01:05,,,,,,,,,,,
3:01:06,,,,,,,,,,,
3:01:07,,,,,,,,,,,
3:01:08,,,,,,,,,,,
3:01:09,,,,,,,,,,,
3:01:10,,,,,,,,,,,
3:01:11,ff,,,,,,,,,,
3:01:12,as,ff,,,,,,,,,
3:01:13,,as,,,,,,,,,
3:01:14,,,,,,,,,,,
3:01:15,,,,,,,,,,,
3:01:16,,,,,,,,,,,
3:01:17,,,as,,,,,,,,
3:01:18,af,,,as,,,,,,,
3:01:19,,,h,,,,,,,,
3:01:20,,,,h,,,,,,,
