time,foot1,foot2,hand1,hand2,pos1,pos2,ground,result,flow,score,bout,
,,,,,,,,,,,1,
0:19:25,fs,,,,,,,,,,,
0:19:26,,,,,,,,,,,,
0:19:27,,,,,,,,,,,,
0:19:28,,,,,,,,,,,,
0:19:29,,fs,,,,,,,,,,
0:20:00,,,,,,,,,,,,
0:20:01,,,,,,,,,,,,
0:20:02,,,,,,,,,,,,
0:20:03,,,,,,,,,,,,
0:20:04,,,,,,,,,,,,
0:20:05,,,,,,,,,,,,
0:20:06,,,,,,,,,,,,
0:20:07,ff,ff,,,,,,,,,,
0:20:08,fs,fs,,,,,,,,,,
0:20:09,,,,,,,,,,,,
0:20:10,,,,,,,,,,,,
0:20:11,,,,,,,,,,,,
0:20:12,,,,,,,,,,,,
0:20:13,,ff,,,,,,,,,,
0:20:14,ff,bs,,,,,,,,,,
0:20:15,,,,,,,,,,,,
0:20:16,,,,,,,,,,,,
0:20:17,fs,,,,,,,,,,,
0:20:18,,,,,,,,,,,,
0:20:19,,bf,,,,,,,,,,
0:20:20,,fs,,,,,,,,,,
0:20:21,,,,,,,,,,,,
0:20:22,,,,,,,,,,,,
0:20:23,ff,ff,,,,,,,,,,
0:20:24,as,bs,,,,,,,,,,
0:20:25,,,as,ps,,,,,,,,
0:20:26,,,,,,,,,,,,
0:20:27,,,,,,,,,,,,
0:20:28,,,h,pf,,,,,,,,
0:20:29,,,,rs,,,,,,,,
0:21:00,,,,,,,,,,,,
0:21:01,,,,,,,,,,,,
0:21:02,af,,,h,,,,,,,,
0:21:03,,,,,,,,,,,,
0:21:04,,,,,,,,,,,,
0:21:05,,bf,,,,,,,,,,
,,,,,,,,a,bbff1,1,,
,,,,,,,,,,,2,
0:29:25,fs,fs,,,,,,,,,,
0:29:26,,,,,,,,,,,,
0:29:27,,,,,,,,,,,,
0:29:28,,,,,,,,,,,,
0:29:29,,,,,,,,,,,,
0:30:00,,,,,,,,,,,,
0:30:01,,,,,,,,,,,,
0:30:02,,,,,,,,,,,,
0:30:03,,,,,,,,,,,,
0:30:04,,,,,,,,,,,,
0:30:05,ff,,,,,,,,,,,
0:30:06,fs,ff,,,,,,,,,,
0:30:07,,as,,,,,,,,,,
0:30:08,,,,,,,,,,,,
0:30:09,,,,,,,,,,,,
0:30:10,,,,,,,,,,,,
0:30:11,,,,,,,,,,,,
0:30:12,,,,,,,,,,,,
0:30:13,,,,as,,,,,,,,
0:30:14,,,ps,,,,,,,,,
0:30:15,ff,,,,,,,,,,,
0:30:16,bs,,,,,,,,,,,
0:30:17,,,,,,,,,,,,
0:30:18,,af,p,hp,,,,,,,,
0:30:19,,,,,,,,,,,,
0:30:20,,,,,,,,,,,,
0:30:21,,,,,,,,,,,,
0:30:22,,,rs,,,,,,,,,
0:30:23,,,,,,,,,,,,
0:30:24,,,,,,,,,,,,
0:30:25,,,,,,,,,,,,
0:30:26,bf,,h,,,,,,,,,
,,,,,,,,r,bfr,1,,
,,,,,,,,,,,3,
0:45:22,fs,fs,,,,,,,,,,
0:45:23,,,,,,,,,,,,
0:45:24,,,,,,,,,,,,
0:45:25,,,,,,,,,,,,
0:45:26,,,,,,,,,,,,
0:45:27,,,,,,,,,,,,
0:45:28,,,,,,,,,,,,
0:45:29,,,,,,,,,,,,
0:46:00,ff,ff,,,,,,,,,,
