time,event,player1,player2,score,position
3:17,s,,,,5
3:19,b,fa,fa,,5
3:28,s,,,,5
3:29,a,ffb,fa,2,4
3:47,s,,,,5
3:48,b,fa,fa,,5
3:57,s,,,,5
3:58,b,fa,fa,,5
4:07,s,,,,5
4:08,a,fa,fa,2,5
4:22,s,,,,5
4:23,b,fa,fa,,5
4:31,s,,,,5
4:32,r,ffpr,fa,1,4
4:49,s,,,,5
4:50,a,fa,fa,2,5
5:09,s,,,,5
5:10,b,ffb,ffb,,5
5:14,a,b-,f-a,2,1
5:38,s,,,,5
5:39,b,ffa,fa,,5
5:47,s,,,,5
5:48,h,ffb,ffb,,5
5:49,n,fa,b-,,7
5:54,a,b-p,f-a,2,1
6:15,s,,,,5
6:16,a,ffa,fa+,1,5
6:33,s,,,,5
6:34,a,fa,fa,2,5
6:46,s,,,,5
6:47,h,ffh,ffh,,5
6:51,a,b-p,f-a,2,1
7:11,s,,,,5
7:12,h,ffh,ffh,,5
7:13,a,a,p,1,5
7:28,s,,,,5
7:29,b,ffa,fa,,5
7:48,s,,,,5
7:49,h,ffh,ffh,,5
7:50,a,f-a,r-,1,7
8:14,s,,,,5
8:15,h,ffh,ffh,,5
8:16,n,fa,b-,,6
8:18,a,r,f-a,2,5
9:48,s,,,,5
9:49,b,fa,fa,,5
9:57,s,,,,5
9:58,h,ffh,ffh,,5
9:59,a,afaf,rpra,1,6
10:26,s,,,,5
10:27,a,ffha,ffha+,1,5
11:00,s,,,,5
11:01,a,ffha,ffhb,1,6
11:22,s,,,,5
11:23,b,ffha,ffha,,5
11:39,s,,,,5
11:40,r,ffpr,fa,1,4
11:57,s,,,,5
11:58,a,ffa,ffba,2,5
12:37,s,,,,5
12:38,n,ffha,ffhb,,6
12:40,a,bp,fa,2,5
12:54,s,,,,5
12:55,r,ffpr,fa,1,4
13:16,s,,,,5
13:17,b,ffa,fa,,5
13:29,s,,,,5
13:30,a,ffa,ffa,1,5
13:55,s,,,,5
13:56,a,ffa,ffa+,1,5
15:29,s,,,,5
15:30,b,ffa,fa,,5
15:41,s,,,,5
15:42,i,ffa,ffba,,6
16:30,s,,,,5
16:31,a,ffha,ffhp,1,6
16:48,s,,,,5
16:49,a,ffa,ffba,2,6
17:44,s,,,,5
17:45,h,ffh,ffh,,5
17:46,a,ffa,r-,1,7
18:11,s,,,,5
18:12,i,ffb,fa,,5
18:37,s,,,,5
18:38,r,ffpr,fa,1,4
19:01,s,,,,5
19:02,r,ffpr,fa,1,5
