time,event,player1,player2,score,position
3:17,s,,,,5
3:19,b,a,a,,5
3:28,s,,,,5
3:29,a,r,a,2,4
3:47,s,,,,5
3:48,b,a,a,,5
3:57,s,,,,5
3:58,b,a,a,,5
4:07,s,,,,5
4:08,a,a,a,2,5
4:22,s,,,,5
4:23,b,a,a,,5
4:31,s,,,,5
4:32,pr,pr,a,1,4
4:49,s,,,,5
4:50,a,a,a,2,5
5:09,s,,,,5
5:10,r,r,r,,5
5:14,a,p,a,2,1
5:38,s,,,,5
5:39,b,a,a,,5
5:47,s,,,,5
5:48,r,r,r,,5
5:49,r,a,r,,7
5:54,a,p,a,2,1
6:15,s,,,,5
6:16,a,a,a,1,5
6:33,s,,,,5
6:34,a,a,a,2,5
6:46,s,,,,5
6:47,r,r,r,,5
6:51,a,p,a,2,1
7:11,s,,,,5
7:12,r,r,r,,5
7:13,a,a,p,1,5
7:28,s,,,,5
7:29,b,a,a,,5
7:48,s,,,,5
7:49,r,r,r,,5
7:50,a,a,r,1,7
8:14,s,,,,5
8:15,r,r,r,,5
8:16,r,a,r,,6
8:18,a,r,a,2,5
9:48,s,,,,5
9:49,b,a,a,,5
9:57,s,,,,5
9:58,r,r,r,,5
9:59,a,a,r,1,6
10:26,s,,,,5
10:27,ra,ra,ra,1,5
11:00,s,,,,5
11:01,ra,ra,r,1,6
11:22,s,,,,5
11:23,b,ra,ra,,5
11:39,s,,,,5
11:40,pr,pr,a,1,4
11:57,s,,,,5
11:58,ra,a,ra,2,5
12:37,s,,,,5
12:38,r,ra,r,,6
12:40,a,p,a,2,5
12:54,s,,,,5
12:55,pr,pr,a,1,4
13:16,s,,,,5
13:17,b,a,a,,5
13:29,s,,,,5
13:30,a,a,a,1,5
13:55,s,,,,5
13:56,a,a,a,1,5
15:29,s,,,,5
15:30,b,a,a,,5
15:41,s,,,,5
15:42,i,a,pr,,6
16:30,s,,,,5
16:31,a,a,p,1,6
16:48,s,,,,5
16:49,a,a,ra,2,6
17:44,s,,,,5
17:45,r,r,r,,5
17:46,a,a,r,1,7
18:11,s,,,,5
18:12,i,r,a,,5
18:37,s,,,,5
18:38,pr,pr,a,1,4
19:01,s,,,,5
19:02,pr,pr,a,1,5
