time,event,player1,player2,score,position
2:15,s,,,,5
2:18,i,f-a,b-,,9
2:39,s,,,,8
2:40,b,fa,ffa,,8
2:46,s,,,,8
2:47,a,fa,ffa,2,8
3:01,s,,,,5
3:02,a,fa,ffa,2,5
3:27,s,,,,5
3:28,a,fa,ffb,1,5
3:36,s,,,,5
3:37,b,fa,ffa,,5
3:46,s,,,,5
3:47,a,ffa,ffa,1,5
4:05,s,,,,5
4:06,r,fapr,ffpr,1,5
4:23,s,,,,5
4:24,a,fa,ffa,2,5
4:40,s,,,,5
4:41,b,fa,fa,,5
4:48,s,,,,5
4:49,h,ffh,ffh,,5
4:50,r,pr,a,1,5
5:02,s,,,,5
5:03,a,fa,ffa,2,5
5:15,s,,,,5
5:16,n,ffh,ffa,,5
5:17,a,a,a,1,5
5:35,s,,,,5
5:36,n,fa,ffb,,6
5:37,a,b,fa,2,5
5:56,s,,,,5
5:57,a,ffp,fa,2,5
6:10,s,,,,5
6:11,b,fa,fa,,5
6:19,s,,,,5
6:20,n,ffh,fa,,5
6:20,a,a,n,1,5
6:53,s,,,,5
6:54,h,ffh,ffh,,5
6:55,a,a,a,1,5
7:24,s,,,,5
7:25,a,fa,fa,2,5
7:38,s,,,,5
7:39,a,fa,fa,1,5
8:52,s,,,,5
8:54,r,ffpr,fa,1,5
9:07,s,,,,5
9:08,n,fa,ffb,,6
9:11,a,b-p,f-a,2,2
9:31,s,,,,5
9:32,b,fa,ffa,,5
9:41,s,,,,5
9:42,n,ffp,ffa,,5
9:42,a,a,n,1,5
9:59,s,,,,5
10:00,b,ffha,ffha,,5
10:10,s,,,,5
10:11,a,fa,ffa,2,5
10:44,s,,,,5
10:46,b,ffha,ffha,,5
10:57,s,,,,5
10:58,b,fa,fa,,5
11:17,s,,,,4
11:18,n,ffa,ffb,,7
11:19,a,f-a,b-,1,8
12:00,s,,,,5
12:01,a,fa,ffp,1,6
12:16,s,,,,5
12:17,h,ffh,ffr,,5
12:18,a,fa,a,1,6
12:30,s,,,,5
12:31,b,fa,fa,,5
12:44,s,,,,5
12:45,a,ffha,ffha,1,5
13:15,s,,,,5
13:16,a,ffp,ffa,2,5
13:34,s,,,,5
13:35,b,fa,ffa,,5
13:46,s,,,,5
13:47,a,fa,fa,1,5
